Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-1;3;12-6-13-3-2-4-14-10-9-11-8-1-5-7-15-12;103.2;12-6-13-3-2-4-14-10-9-11-8-1-5-7-15-12;103.2
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-1;4;1-11-14-8-7-2-15-10-3-12-13-4-9-6-5-1;126.83;13-9-10-14-15-1-5-4-12-2-8-3-7-6-11-13;120.98
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-2;1;1-7-12-10-4-2-8-15-6-9-5-13-3-14-11-1;108.78;1-7-12-10-4-2-8-15-6-9-5-13-3-14-11-1;108.78
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-2;2;7-2-12-8-11-13-3-5-6-4-9-15-1-10-14-7;120.89;8-15-11-6-5-3-9-1-13-10-14-12-7-2-4-8;115.14
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-2;3;15-6-3-10-14-7-2-9-8-13-5-1-11-12-4-15;93.86;4-6-3-10-14-7-2-9-8-13-5-1-11-12-15-4;93.56
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-2;4;14-15-1-8-6-2-7-4-5-11-13-9-10-12-3-14;108.47;14-15-1-8-6-2-7-4-5-11-13-9-10-12-3-14;108.47
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-3;1;4-14-9-6-1-10-2-7-8-3-5-11-13-15-12-4;115.75;4-14-9-6-1-10-2-7-8-3-5-11-13-15-12-4;115.75
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-3;2;14-8-9-12-2-6-1-4-15-7-13-10-3-5-11-14;124.87;14-6-3-9-1-5-7-10-13-11-15-2-12-8-4-14;108.67
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-3;3;10-4-12-8-1-5-14-15-7-3-2-13-11-9-6-10;101.91;10-4-12-8-1-5-14-15-7-3-2-13-11-9-6-10;101.91
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-3;4;4-12-2-6-3-9-11-14-15-13-1-8-5-7-10-4;92.32;4-12-2-6-3-9-11-14-15-13-1-8-5-7-10-4;92.32
